,Name,Publisher,Author,Year
28,"Social Security 101: From Medicare To Spousal Benefits, An Essential Primer On Government Retirement Aid (adams 101)",Adams Media,"Mill, Alfred",2016
29,The Art of Social Media: Power Tips for Power Users,Portfolio,"Guy Kawasaki, Peg Fitzpatrick",2014
30,Influencer: Building your personal brand in the age of social media,Citadel Press,"Hennessy, Brittany",2018
31,Social Media Success for Every Brand: The Five StoryBrand Pillars That Turn Posts Into Profits,HarperCollins Leadership,Claire Diaz-Ortiz,2019
32,"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing",Entrepreneur Press,"Dan S. Kennedy, Kim Walsh-Phillips",2015
33,Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.,Grand Central Publishing,Aliza Licht,2015
34,"Media, Society, World: Social Theory and Digital Media Practice",Polity,Nick Couldry,2012
35,"INSTAGRAM MARKETING 2021: Success in your business with the power of promotion, grow a top influencer with the secrets of this beginner’s guide for growth in social media marketing","Mathew, Jack [Mathew, Jack]","Mathew, Jack [Mathew, Jack]",2021
36,Introduction to Mass Communication: Media Literacy and Culture,McGraw-Hill Humanities/Social Sciences/Languages,Stanley Baran,2013
37,"Python Social Media Analytics: Analyze and visualize data from Twitter, Youtube, GitHub, and more",Packt Publishing,"Siddhartha Chatterjee, Michal Krystyanczuk",2017
38,"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",Wiley,David Meerman Scott,2013
39,Social Media Marketing Workbook 2022,Jason McDonald,Jason McDonald,2022
40,Philosophy Of Media: A short History Of Ideas And Innovations From Socrates To Social Media,Routledge,"Hassan, Robert, Sutherland, Thomas",2017
41,Social Media Marketing All-in-One For Dummies,For Dummies,"Michelle Krasniak, Jan Zimmerman, Deborah Ng",2021
42,Dynamic Digital Marketing: Master the World of Online and Social Media Marketing to Grow Your Business,Wiley,Dawn McGruer,2020
43,Social Media for Strategic Communication: Creative Strategies and Research-Based Applications,"Sage Publications, Inc",Karen J Freberg,2018
44,Influence and Behavior Analysis in Social Networks and Social Media,Springer International Publishing,"Mehmet Kaya, Reda Alhajj",2019
45,"Professione social media manager. Strategie, tattiche e strumenti per i professionisti del social media marketing",Hoepli,Veronica Gentili,2020
46,"50 digital team building games : fast, fun meeting openers, group activities and adventures using social media, smart phones, GPS, tablets, and more",Wiley,"Chen, John",2012
47,Social Media Made Simple: Social Media Marketing Tips for Small Business: A Quick Guide to Boosting Your Brand With 101 Free Content Ideas,#PrB.rating#5.0,"The Sitters Australia & Siân Evans & Justine Day [Australia, The Sitters & Evans, Siân & Day, Justine]",2021
48,Social Media and Crisis Communication,Routledge,"Lucinda L Austin, Yan Jin",2017
49,LikeWar: The Weaponization of Social Media,Eamon Dolan/Houghton Mifflin Harcourt,"P.W. Singer, Emerson T. Brooking",2018
50,Mining Social Media: Finding Stories in Internet Data,No Starch Press,Lam Thuy Vo,2019
51,The culture of connectivity : a critical history of social media,Oxford University Press,José van Dijck,2013
52,"The Hype Machine: How Social Media Disrupts Our Elections, Our Economy, and Our Health--And How We Must Adapt",Currency,Sinan Aral,2020
53,"Social Media, Politics and the State: Protests, Revolutions, Riots, Crime and Policing in the Age of Facebook, Twitter and YouTube",Routledge,"Daniel Trottier, Christian Fuchs",2014
54,"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",ALLAN KANE,ALLAN KANE,2020
55,"Messing with the Enemy: Surviving in a Social Media World of Hackers, Terrorists, Russians, and Fake News",Harper,Clint Watts,2018
56,Media Control: News as an Institution of Power and Social Control,Bloomsbury Publishing Inc,Robert E. Gutsche Jr.,2017
57,Breeding His Social Media Slut Daughter,DeeDee Zee,DeeDee Zee,english
58,The Social Media Marketing Book,O'Reilly Media,Dan Zarrella,2009
59,Multimodal Communication: A social semiotic approach to text and image in print and digital media,Springer International Publishing; Palgrave Pivot,May Wong,2019
60,The Introvert’s Edge to Networking: Work the Room. Leverage Social Media. Develop Powerful Connections,HarperCollins Leadership,"Pollard, Matthew",2021
61,Social Media Marketing : Learn How to Build a Great Brand & Master the Secrets of influencing .,"Lane, Marry","Lane, Marry",2020
62,Growth Hacker Marketing. El futuro del Social Media y la Publicidad (Títulos Especiales) (Spanish Edition),ANAYA MULTIMEDIA,Ryan Holiday,2014
63,"Social Media Marketing – Strategies of Facebook Marketing, Instagram Marketing, LinkedIn Marketing, YouTube Marketing","Maheshwari, Shubhangi & Pal, Nishant [Maheshwari, Shubhangi]","Maheshwari, Shubhangi & Pal, Nishant [Maheshwari, Shubhangi]",2021
64,Introduction to Social Media Marketing: A Guide for Absolute Beginners,Apress,Todd Kelsey,2017
65,Blender for Video Production Quick Start Guide: Create high quality videos for YouTube and other social media platforms with Blender,Packt Publishing,Allan Brito,2018
66,"Critique, Social Media and Information Society",Routledge,Christian Fuchs and Marisol Sandoval,2014
67,"Writing on the wall: social media — the first 2,000 years",Bloomsbury USA,Tom Standage,2013
68,Encyclopedia of Social Media and Politics (3 volume set),"SAGE Publications, Inc",Kerric Harvey,2014
69,Influencer: Building Your Personal Brand in the Age of Social Media,Hennessy Brittany,Hennessy Brittany,2018
70,"Think Like a Psychologist: How to Analyze Emotions, Read Body Language and Behavior, Understand Motivations, and Decipher Intentions (The Psychology of Social Dynamics Book 2)","PKCS Media, Inc.","Patrick King [King, Patrick]",2019
71,O mito da grande classe média - Capitalismo e estrutura social,Boitempo Editorial,Marcio Pochmann,2015
72,"NEW RULES OF MARKETING & PR how to use social media, online video, mobile applications, blogs... , news releases, and viral marketing to reach buye.",JOHN WILEY & SONS,DAVID MEERMAN SCOTT,2020
73,"International Communications Strategy: Developments in Cross-Cultural Communications, PR and Social Media",Kogan Page,"Silvia Cambie, Yang-May Ooi",2009
74,Behind The Screen: Content Moderation In The Shadows Of Social Media,Yale University Press,Sarah T. Roberts,2019
75,Ultimate Guide to Social Media Marketing,Entrepreneur Press,Eric Butow,2020
76,"Social Media Marketing,3 books in one: Excellent Tricks to Grow your business,Instagram Marketing to become a famous influencer,Tiktok and You Tube to make Viral Videos",Dave Miller,Dave Miller,2020
77,Dark Persuasion: A History of Brainwashing from Pavlov to Social Media,Yale University Press,"Dimsdale, Joel E.",2021
78,"Distant Witness：Social Media, The Arab Spring and a Journalism Revolution 遙遠的目擊者：阿拉伯之春紀事",立緒,鄧伯宸 Andy Carvin,2013
79,Online Public Relations: A Practical Guide to Developing an Online Strategy in the World of Social Media (PR in Practice),Kogan Page,"David Phillips, Philip Young",2009
80,"Creating Smart Enterprises: Leveraging Cloud, Big Data, Web, Social Media, Mobile and IoT Technologies",Auerbach Publications;CRC Press,Vivek Kale,2018
81,The Handbook of Online and Social Media Research: Tools and Techniques for Market Researchers,Wiley,Ray Poynter,2010
82,"Improve Your Conversations: Think On Your Feet, Witty Banter, and Always Know What To Say with Improv Comedy Techniques (Social Skills, Small Talk, and Communication Skills Mastery)",Plain Key Media,"Patrick King [King, Patrick]",2015
83,Social Media Marketing,Sage Publishing,Tracy L. Tuten & Michael R. Solomon,2018
84,Ten Arguments for Deleting Your Social Media Accounts Right Now,Henry Holt and Company,Jaron Lanier,2018
85,"Disinformation, Misinformation, and Fake News in Social Media (Lecture Notes in Social Networks)",Springer International Publishing,Unknown,2020
86,Social Media: A Critical Introduction,SAGE Publications Ltd,Christian Fuchs,2013
87,"Strategic Communication, Social Media and Democracy The challenge of the digital naturals",Routledge,"Edited by W. Timothy Coombs, Jesper Falkheimer, Mats Heide and Philip Young",2015
88,"R: Mining Spatial, Text, Web, and Social Media Data",Packt Publishing;,"Bater Makhabel, Pradeepta Mishra, Nathan Danneman, Richard Heimann",2017
89,"30 Days to Social Media Success: The 30 Day Results Guide to Making the Most of Twitter, Blogging, LinkedIN, and Facebook",Career Press,Gail Martin,2010
90,#Republic: Divided Democracy in the Age of Social Media,Princeton University Press,Cass R. Sunstein,2017
91,Public Influence: A Guide to Op-Ed Writing and Social Media Engagement,University of Toronto Press,Mira Sucharov,2019
92,Social Media Marketing in Tourism and Hospitality,Springer International Publishing,Roberta Minazzi (auth.),2015
93,Social Media And The Post-Truth World Order: The Global Dynamics Of Disinformation,Palgrave Pivot,Gabriele Cosentino,2020
94,Social Media Marketing: Emerging Concepts and Applications,Palgrave Macmillan,"Githa Heggde, G. Shainesh (eds.)",2018
95,Natural Language Processing for Social Media,Morgan & Claypool Publishers,"Anna Atefeh Farzindar, Diana Inkpen",2020
96,"Psychoanalysis and Digital Culture: Audiences, Social Media, and Big Data",Routledge,Jacob Johanssen,2019
97,"Social Media Communication: Concepts, Practices, Data, Law and Ethics",Routledge,Jeremy H. Lipschultz,2017
98,The Social Media MBA Guide to ROI: How to Measure and Improve Your Return on Investment,Wiley,Christer Holloman,2014
99,Social Media Analytics Strategy: Using Data to Optimize Business Performance,Apress,Alex Gonçalves (auth.),2017
100,"Advanced social media marketing: How to lead, launch, and manage a successful social media program",Apress,Tom Funk,2012
101,The End of Marketing: Humanizing Your Brand in the Age of Social Media and AI,Kogan Page,Carlos Gil,2019
102,Social Media Marketing personal y profesional,Alfaomega,José Antonio Carballar Falcón,2013
103,No B.S. Guide to Direct Response Social Media Marketing,Entrepreneur Press,Dan S. Kennedy,2015
104,"Optimize: How to Attract and Engage More Customers by Integrating SEO, Social Media, and Content Marketing",Wiley,Lee Odden,2012
105,The Social Photo - On Photography and Social Media,Verso,Nathan Jurgenson,2019
106,Marketing Communications: Integrating Offline and Online with Social Media,Kogan Page Publishers,"Paul R. Smith, Ze Zook",2011
107,The Language of Social Media: Identity and Community on the Internet,Palgrave Macmillan UK,"Philip Seargeant, Caroline Tagg (eds.)",2014
108,The End Of Forgetting: Growing Up With Social Media,Harvard University Press,Kate Eichhorn,2019
109,"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube, Snapchat, and More!",Andrew Macarthy,Andrew Macarthy,2014
110,Think Before You Like: Social Media’s Effect on the Brain and the Tools You Need to Navigate Your Newsfeed,Prometheus Books,Guy P. Harrison,2017
111,"Instagram: Instagram Blackbook: Everything You Need To Know About Instagram For Business and Personal - Ultimate Instagram Marketing Book (Internet Marketing, Social Media)",J. Holmes,J. Holmes,english
112,For the TikTok Beginner: Become a Famous Social Media Influencer: Learn the Ins & Outs of TikTok and Turn Income Ideas Into a Money Making Business,#PrB.rating#0.0,"Adonis Gillespie [Gillespie, Adonis]",2021
113,"Innovations in Knowledge Management: The Impact of Social Media, Semantic Web and Cloud Computing",Springer-Verlag Berlin Heidelberg,"Liana Razmerita, Gloria Phillips-Wren, Lakhmi C. Jain (eds.)",2016
114,Free Speech: A History from Socrates to Social Media,Basic Books,Jacob Mchangama,2022
115,How to Make Money with Social Media: An Insider's Guide on Using New and Emerging Media to Grow Your Business,FT Press,"Jamie Turner, Reshma Shah",2010
116,"Social media hacking: Hack Facebook, WhatsApp, Instagram, Twitter accounts",Shekhar Mishra,Shekhar Mishra,2018
117,Mining Social Media-Finding Stories in Internet Data,No Starch Press,Lam Thuy Vo,2019
118,Alpha Male Strategies: Dating Techniques In The Social Media Age,Alpha Male Strategies,Alpha Male Strategies,english
119,"Fans and Fan Cultures: Tourism, Consumerism and Social Media",Palgrave Macmillan UK,"Henrik Linden, Sara Linden (auth.)",2017
120,"Inbound Marketing: Get Found Using Google, Social Media, and Blogs",Wiley,"Brian Halligan, Dharmesh Shah, David Meerman Scott",2009
121,Nationalism on the Internet: Critical Theory and Ideology in the Age of Social Media and Fake News,Routledge,Christian Fuchs,2019
122,"Likeable Social Media: How to Delight Your Customers, Create an Irresistible Brand, and Be Generally Amazing on Facebook",McGraw-Hill,Dave Kerpen,2011
123,"Ask, Measure, Learn: Using Social Media Analytics to Understand and Influence Customer Behavior",O'Reilly Media,"Lutz Finger, Soumitra Dutta",2014
124,Socialism 101,Adams Media,Kathleen Sears,2019
125,"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",Shekhar mishra,Shekhar mishra,2018
126,"Social Evolution, Political Psychology, and the Media in Democracy: The Invisible Hand in the U.S. Marketplace of Ideas",Springer,"Beattie, Peter",2019
127,"Social Media Marketing 2021: 4 BOOKS IN 1 - Social Media for Beginners, Instagram Marketing to Become an Influencer, Facebook Advertising, Google AdWords (Analytics, SEO and ADS for Your Business)","Preace, Jeremy","Preace, Jeremy",2020
128,"Social BOOM!: How to Master Business Social Media to Brand Yourself, Sell Yourself, Sell Your Product, Dominate Your Industry Market, Save Your Butt, ... and Grind Your Competition into the Dirt",FT Press,Jeffrey Gitomer,2011
129,"Socialism 101: from the Bolsheviks and Karl Marx to universal healthcare and the democratic socialists, everything you need to know about socialism",Adams Media,Kathleen Sears,2019
130,Social Media for Small Business,John Wiley & Sons,"Iseli, Franziska, ",2021
131,The Network Society: Social Aspects of New Media,Sage Publications Ltd,Professor Jan A G M van Dijk,2005
132,Ten Arguments For Deleting Your Social Media Accounts Right Now,by Jaron Lanier,by Jaron Lanier,2018
133,Social Network Analysis for Startups: Finding connections on the social web,O'Reilly Media,"Maksim Tsvetovat, Alexander Kouznetsov",2011
134,"Gadget Consciousness: Collective Thought, Will And Action in the Age of Social Media",Pluto Press,Joss Hands,2019
135,"New Media, Cultural Studies, and Critical Theory after Postmodernism: Automodernity from Zizek to Laclau (Education, Psychoanalysis, Social Transformation)",Palgrave Macmillan,Robert Samuels,2009
136,Start a Successful Social Media Marketing Agency From Home: Everything You Need to Know About Branding Your Social Media Marketing From Your Comfort Zone,Independently published,"Dawson Barnes [Barnes, Dawson]",2021
137,"How Algorithms Create and Prevent Fake News: Exploring the Impacts of Social Media, Deepfakes, GPT-3, and More",Apress,Noah Giansiracusa,2021
138,Sentiment Analysis for Social Media,MPDI,"Carlos A. Iglesias, Antonio Moreno",2020
139,The Day the Bubble Burst: A Social History of the Wall Street Crash of 1929,Open Road Media,"Gordon Thomas, Max Morgan-Witts",2014
140,"Your brand, the next media company : how a social business strategy enables better content, smarter marketing, and deeper customer relationships",Pearson Education;Que Publishing,"Brito, Michael",2014
141,Social Media Marketing All-in-One For Dummies,For Dummies,"Michelle Krasniak, Jan Zimmerman, Deborah Ng",2021
142,"Likeable Social Media, Third Edition: How to Delight Your Customers, Create an Irresistible Brand, & Be Generally Amazing on All Social Networks That Matter",McGraw-Hill Education,Dave Kerpen,2019
143,"Digital Media and Society: Transforming Economics, Politics and Social Practices",Palgrave Macmillan UK,Andrew White (auth.),2014
144,"Breaking Orbit: How to Write, Publish and Launch Your First Bestseller on Amazon Without a Mailing List, Blog or Social Media Following",Green Jonathan,Green Jonathan,2016
145,Social media for writers : marketing strategies for building your audience and selling books,F W Media;Writer's Digest Books,"Philippa Ballantine, Tee Morris",2015
146,Breaking the Social Media Prism: How to Make Our Platforms Less Polarizing,Princeton University Press,Chris Bail,2021
147,Offline: Free Your Mind from Smartphone and Social Media Stress,Capstone/Wiley & Sons,"Imran Rashid, Soren Kenner",2019
148,"The Dark Side of Social Media: Psychological, Managerial, and Societal Perspectives",Academic Press,"Pavica Sheldon, Philipp Rauschnabel, James M. Honeycutt",2019
149,Social Media Marketing for Business: Scaling an Integrated Social Media Strategy Across Your Organization,Andrew Jenkins,Andrew Jenkins,2022
150,"The Dragonfly Effect: Quick, Effective, and Powerful Ways To Use Social Media to Drive Social Change",Jossey-Bass,"Jennifer Aaker, Andy Smith",2010
151,Alpha Male Strategies: Dating Techniques In The Social Media Age,"Strategies, Alpha Male","Strategies, Alpha Male",2018
152,The Happiness Effect: How Social Media is Driving a Generation to Appear Perfect at Any Cost,Oxford University Press,"Donna Freitas, Christian Smith",2017
153,Internet and Social Media Addiction,"ReferencePoint Press, Inc.",Andrea C. Nakaya,2015
154,"Social Media - The Art of Marketing on YouTube, Facebook, Twitter, and Instagram",Calvin Kennedy,Calvin Kennedy,english
155,"Follow me! Erfolgreiches Social Media Marketing mit Facebook, Instagram, LinkedIn und Co.",Rheinwerk Verlag,"Karim-Patrick Bannour, Anne Grabs, Elisabeth Vogl",2022
156,Copywriting: I 50 Comandamenti del Copywriter. Copywriting Persuasivo per Social Media Marketing. Per Negati. Edizione 2019 (Marketing per Negati Vol. 4) (Italian Edition),Max Milla,Max Milla,2019
157,"Mining the Social Web: Analyzing Data from Facebook, Twitter, LinkedIn, and Other Social Media Sites",O'Reilly Media,Matthew A. Russell,2011
158,Dynamic Digital Marketing: Master the world of online and social media marketing to grow your business,Wiley,Dawn McGruer,2
159,Social Media and Public Relations: Fake Friends and Powerful Publics,Routledge,"Judy Motion, Robert L. Heath, Shirley Leitch",2016
160,Social eCommerce: Increasing Sales and Extending Brand Reach,O'Reilly Media,"Stephan Spencer, Jimmy Harding, Jennifer Sheahan",2014
161,"The Social Media Debate: Unpacking the Social, Psychological, and Cultural Effects of Social Media",Routledge,Devan Rosen (editor),2022
162,"The Social Media Handbook for Financial Advisors: How to Use LinkedIn, Facebook, and Twitter to Build and Grow Your Business",Bloomberg Press,"Matthew Halloran, Crystal Thies(auth.)",2012
163,30-Minute Social Media Marketing: Step-by-step Techniques to Spread the Word About Your Business,McGraw-Hill,Susan Gunelius,2010
164,Social Media Marketing Workbook 2022: Secret tricks for successfully growing your business to billionaire,"Howell, Shaun","Howell, Shaun",2022
165,Why Social Media is Ruining Your Life,Cassell Illustrated,Katherine Ormerod,2018
166,Selling Social Media: The Political Economy of Social Networking,Bloomsbury Academic,Daniel Faltesek,2018
167,"i-Minds: How Cell Phones, Computers, Gaming, and Social Media are Changing our Brains, our Behavior, and the Evolution of our Species",New Society Publishers,Mari Swingle,2016
168,Content Marketing: Think Like a Publisher - How to Use Content to Market Online and in Social Media (Que Biz-Tech),Que,Rebecca Lieb,2011
169,Social-Media-Marketing kompakt,Springer Fachmedien Wiesbaden;Springer Gabler,Ralf T. Kreutzer,2018
170,No Sense of Place: The Impact of Electronic Media on Social Behavior,Oxford University Press,Joshua Meyrowitz,1985
171,"Custodians of the Internet: Platforms, Content Moderation, and the Hidden Decisions That Shape Social Media",Yale University Press,Tarleton Gillespie,2018
172,"I'm a Therapist, and My Patient is a Vegan Terrorist: 6 Deadly Social Media Influencers",Dr. Harper Therapy,Dr. Harper,2020
173,Historia economica y social de la Edad Media,Fondo de Cultura Económica,Henri Pirenne,1939
174,"Content Rules: How to Create Killer Blogs, Podcasts, Videos, Ebooks, Webinars (and More) That Engage Customers and Ignite Your Business (New Rules Social Media Series)",Wiley,"Ann Handley, C.C. Chapman",2010
175,"Managing Democracy in the Digital Age: Internet Regulation, Social Media Use, and Online Civic Engagement",Springer International Publishing,"Julia Schwanholz, Todd Graham, Peter-Tobias Stoll (eds.)",2018
176,"The Zen of Social Media Marketing: An Easier Way to Build Credibility, Generate Buzz, and Increase Revenue",BenBella Books,"Shama Kabani, Chris Brogan",2010
177,Social Media and Personal Relationships : Online Intimacies and Networked Friendship,Palgrave Macmillan,"Chambers, Deborah",2013
178,The Social Organism: A Radical Understanding of Social Media to Transform Your Business and Life,Hachette Books,"Oliver Luckett, Michael J. Casey",2016
179,Social Media ROI: Managing and Measuring Social Media Efforts in Your Organization,Que Publishing,Olivier Blanchard,2011
180,Netnography Unlimited: Understanding Technoculture Using Qualitative Social Media Research,Routledge,"Robert V. Kozinets (editor), Rossella Gambetti (editor)",2021
181,"Social Skills - Social Fluency: Genuine Social Habits to Work a Room, Own a Conversation, and Be Instantly Likeable...Even Introverts! (Communication Skills, Small Talk, People Skills Mastery)",Plain Key Media,Patrick King,2014
182,Social media made me rich : here's how it can do the same for you,Morgan James Publishing,"Loop, Matthew",2016
183,"Essential Guide to Making Money Online: Self-Publishing, Blogging, Affiliate Marketing, Dropshipping, Online Videos, Courses, Merch, Social Media Influencer Marketing, and Retail Arbitrage",#PrB.rating#3.18,"Michael Kevin [Kevin, Michael]",2019
184,Framing Public Life: Perspectives on Media and Our Understanding of the Social World,Routledge,"Stephen D. Reese, Oscar H. Gandy  Jr., August E. Grant",2001
185,"Messing with the Enemy: Surviving in a Social Media World of Hackers, Terrorists, Russians, and Fake News",Harper Paperbacks,Clint Watts,2019
186,Social Media Marketing: Ultimate instructions for upgrading your Business Through social media marketing efforts in 2020,"Elby, Susan","Elby, Susan",2020
187,Social Media Promotion for Small Business and Entrepreneurs: The Manual For Marketing Your Products And Business Online,BOMG Publishing,"Owsinski, Bobby",2014
188,A Social Media Survival Guide: How to Use the Most Popular Platforms and Protect Your Privacy,Rowman & Littlefield Publishers,Melody Karle,2020
189,"Work Smarter with Social Media : a Guide to Managing Evernote, Twitter, LinkedIn, and Your Email.",Harvard Business Review Press,"Samuel, Alexandra",2015
190,Social Media Mining with R: Deploy cutting-edge sentiment analysis techniques to real-world social media data using R,Packt Publishing,"Richard Heimann, Nathan Danneman",2014
191,The Live-Streaming Handbook: How to Create Live Video for Social Media on Your Phone and Desktop,Routledge,Peter Stewart,2018
192,Internet and surveillance: the challenges of Web 2.0 and social media,Routledge,"Christian Fuchs, Kees Boersma, Anders Albrechtslund, Marisol Sandoval (editors)",2011
193,The Everything Guide to Crowdfunding: Learn how to use social media for small-business funding,Adams Media,Thomas Elliott Young,2013
194,Open Source Intelligence and Cyber Crime: Social Media Analytics,Springer International Publishing;Springer,"Mohammad A. Tayebi, Uwe Glässer, David B. Skillicorn",2020
195,"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts","Shekhar mishra [mishra, Shekhar]","Shekhar mishra [mishra, Shekhar]",2018
196,Guerrilla Marketing for Job Hunters 3.0: How to Stand Out from the Crowd and Tap Into the Hidden Job Market using Social Media and 999 other Tactics Today,Wiley,"Jay Conrad Levinson, David E. Perry",2011
197,"Charisma: Conversation Skills, Influence, Social Skills, People Skills (Communication Skills, How To Talk To Anyone, Persuasion, How To Be Charismatic, Be Magnetic)",Pomodoro Media,"Gary Marshall [Marshall, Gary]",2014
198,Mobile and Social Media Journalism; A Practical Guide,CQ Press,Anthony Adornato,2017
199,"Language, Social Media and Ideologies: Translingual Englishes, Facebook and Authenticities",Springer,Sender Dovchin,2020
200,"Violence and trolling on social media: history, affect, and effects of online vitriol",Amsterdam University Press,"Polak, Sara, Trottier, Daniel",2020
201,Social media recruitment : how to successfully integrate social media into recruitment strategy,Kogan Page,"Headworth, Andy",2015
202,"Understanding Social Media And Entrepreneurship: The Business Of Hashtags, Likes, Tweets And Stories",Springer,"Leon Schjoedt, Malin E. Brännback, Alan L. Carsrud",2020
203,"The B2B social media book: become a marketing superstar by generating leads with blogging, LinkedIn, Twitter, Facebook, email, and more - PDFDrive.com",John Wiley & Sons,Jeffrey L. Cohen Kipp Bodnar,english
204,Tweets and the Streets: Social Media and Contemporary Activism,Pluto Press,Paolo Gerbaudo,2012
205,Social Media Marketing: An Hour a Day,Sybex,"Dave Evans, Susan Bratton",2012
